Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
canyonco.org,,County Government,Idaho,accepted term,"Canyon County, ID -- Note added 7/5/13 18:28",http://canyonco.org/,6/6/13 18:08
carboncounty.com,,County Government,Pennsylvania,accepted term,"Carbon County, PA -- Note added 7/1/14 19:17",http://carboncounty.com/cc_home.asp,6/6/13 18:08
carbonwy.com,,County Government,Wyoming,accepted term,"Carbon County, WY -- Note added 6/6/13 18:09",http://carbonwy.com/,6/6/13 18:09
cariboucounty.us,,County Government,Idaho,accepted term,"Caribou County, ID -- Note added 7/5/13 18:54",http://www.cariboucounty.us/,6/6/13 18:08
carolinemd.org,,County Government,Maryland,accepted term,"Caroline County, MD -- Note added 5/27/14 1:20",http://www.carolinemd.org,6/6/13 18:08
carr.org,,County Government,Maryland,accepted term,"Carroll County, MD -- Note added 7/25/13 17:42",http://ccgovernment.carr.org/ccg/default.asp,6/6/13 18:08
carrollcountyga.com,,County Government,Georgia,accepted term,"Carroll County, Ga -- Note added 8/25/15 14:22",http://carrollcountyga.com/,6/6/13 18:08
carrollcountyohio.net,,County Government,Ohio,accepted term,"Carroll County, OH -- Note added 3/11/14 14:36",http://carrollcountyohio.net/,6/6/13 18:08
carrollcountyva.org,,County Government,Virginia,accepted term,"Carroll County, VA -- Note added 5/30/14 13:52",http://carrollcountyva.org,6/6/13 18:08
cartercountymt.info,,County Government,Montana,accepted term,"Carter County, MT -- Note added 11/22/13 12:40",http://cartercountymt.info/,6/6/13 18:08
carteretcountygov.org,,County Government,North Carolina,accepted term,"carteret county, nc -- Note added 9/11/15 18:57",http://www.carteretcountync.gov/,6/6/13 18:08
casscounty.com,,County Government,Missouri,accepted term,Cass County of Missouri -- Note added 9/24/15 15:09,http://casscounty.com/,6/6/13 18:08
casscountymi.org,,County Government,Michigan,accepted term,"CAss county, Mi -- Note added 9/2/15 20:28",http://casscountymi.org/,6/6/13 18:08
cassiacounty.org,,County Government,Idaho,accepted term,"Cassia County, ID -- Note added 7/5/13 18:28",http://cassiacounty.org/,6/6/13 18:08
cassne.org,,County Government,Nebraska,accepted term,"Cass County, NE -- Note added 12/6/13 18:50",http://www.cassne.org/,6/6/13 18:08
catoosa.com,,County Government,Georgia,accepted term,"Catoosa County, Ga -- Note added 8/25/15 14:23",http://catoosa.com/,6/6/13 18:08
catroncounty.us,,County Government,New Mexico,accepted term,"Catron County, NM -- Note added 7/16/14 5:26",http://www.catroncounty.us/,6/6/13 18:08
cattco.org,,County Government,New York,accepted term,"Cattaraugus County, NY -- Note added 7/31/13 18:55",http://cattco.org/,6/6/13 18:08
cavaliercounty.us,,County Government,North Dakota,accepted term,"Cavalier County, ND -- Note added 7/18/14 5:28",http://www.cavaliercounty.us/,6/6/13 18:08
cayugacounty.us,,County Government,New York,accepted term,"Cayuga County, NY -- Note added 12/6/13 14:13",http://www.cayugacounty.us/,6/6/13 18:08
ccgov.net,,County Government,Wyoming,accepted term,"Campbell County, WY -- Note added 11/20/13 20:18",http://www.ccgov.net/,6/6/13 18:08
ccgov.org,,County Government,Maryland,accepted term,"Cecil County, MD -- Note added 5/27/14 1:23",http://www.ccgov.org/,6/6/13 18:08
ccok.us,,County Government,Oklahoma,accepted term,"Cleveland County, OK -- Note added 8/2/13 14:59",http://www.clevelandcountyok.com/,8/2/13 14:58
ccpa.net,,County Government,Pennsylvania,accepted term,"Cumberland County, PA -- Note added 7/1/14 19:30",http://ccpa.net/,6/6/13 18:08
celebratedouglascounty.com,,County Government,Georgia,accepted term,"Douglas County, Ga -- Note added 8/25/15 14:24",http://www.celebratedouglascounty.com/,6/6/13 18:08
centralwashingtoncfc.us,,County Government,Washington,accepted term,Central Washington Combined Federal CampaignServing: Chelan CountyDouglas CountyKittitas CountyYakima County -- Note added 9/12/14 5:29,http://centralwashingtoncfc.us/,6/6/13 18:08
