Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,,
townofbeekman.com,,Local Government,New York,,,,6/6/13 18:09,,
townofbennett.org,,Local Government,Colorado,rejected term,"Town of Bennett, CO -- Note added 7/22/13 16:24",,6/6/13 18:09,,
townofbethany.com,,Local Government,New York,,,,6/6/13 18:09,,
townofbethlehem.org,,Local Government,New York,,,,6/6/13 18:09,,
townofbolivar.com,,Local Government,New York,,,,6/6/13 18:09,,
townofboston.com,,Local Government,New York,,,,6/6/13 18:09,,
townofbridgeville.net,,Local Government,Delaware,rejected term,"Domain doesn't resolve - website for the Town of Bridgeville, DE, is now bridgeville.delaware.gov -- Note added 6/7/13 17:26",,6/6/13 18:09,,
townofbrighton.org,,Local Government,New York,,,,6/6/13 18:09,,
townofbroadalbin.org,,Local Government,New York,,,,6/6/13 18:09,,
townofbrunswick.org,,Local Government,New York,,,,6/6/13 18:09,,
townofbrutus.org,,Local Government,New York,,,,6/6/13 18:09,,
townofbusti.com,,Local Government,New York,,,,6/6/13 18:09,,
townofcaledoniany.com,,Local Government,New York,,,,11/20/13 20:16,,
townofcallicoon.org,,Local Government,New York,,,,6/6/13 18:09,,
townofcambria.com,,Local Government,New York,,,,6/6/13 18:09,,
townofcamillus.com,,Local Government,New York,,,,6/6/13 18:09,,
townofcampobello.us,,Local Government,,Deprecated,Former town website. See historical snapshot at: http://web.archive.org/web/20111112094840/http://www.townofcampobello.us/  -- Note added 3/24/14 14:13,,3/24/14 14:13,,
townofcanandaigua.org,,Local Government,New York,,,,6/6/13 18:09,,
townofcaroline.org,,Local Government,New York,,,,6/6/13 18:09,,
townofcaton.com,,Local Government,New York,,,,6/6/13 18:09,,
townofcazenovia.org,,Local Government,New York,,,,6/6/13 18:09,,
townofcharlton.org,,Local Government,New York,,,,6/6/13 18:09,,
townofchautauqua.com,,Local Government,New York,,,,6/6/13 18:09,,
townofchemung.com,,Local Government,New York,,,,6/6/13 18:09,,
townofchenango.com,,Local Government,New York,,,,6/6/13 18:09,,
townofchesterny.org,,Local Government,New York,,,,6/6/13 18:09,,
townofchili.org,,Local Government,New York,,,,6/6/13 18:09,,
townofclaverack.com,,Local Government,New York,,,,6/6/13 18:09,,
townofclay.org,,Local Government,New York,,,,6/6/13 18:09,,
townofclayton.com,,Local Government,New York,,,,6/6/13 18:09,,
townofclinton.com,,Local Government,New York,,,,6/6/13 18:09,,
townofcolesville.org,,Local Government,New York,,,,6/6/13 18:09,,
townofcolton.com,,Local Government,New York,,,,6/6/13 18:09,,
townofcolumbia.org,,Local Government,New York,,,,6/6/13 18:09,,
townofconklin.org,,Local Government,New York,,,,6/6/13 18:09,,
townofcorinthny.com,,Local Government,,,,,8/26/13 16:39,,
townofcortlandt.com,,Local Government,New York,,,,6/6/13 18:09,,
townofcovington.com,,Local Government,New York,,,,6/6/13 18:09,,
townofcrawford.org,,Local Government,New York,,,,6/6/13 18:09,,
townofcroghan.com,,Local Government,New York,,,,6/6/13 18:09,,
townofcrosby.com,,Local Government,,rejected term,"Domain no longer resolves. Per the Wayback Machine, it last resolved on January 2, 2014: https://web.archive.org/web/20140102151212/http://townofcrosby.com.  -- Note added 8/13/14 13:19",,6/6/13 18:09,,
townofdannemora.org,,Local Government,New York,,,,6/6/13 18:09,,
townofday.com,,Local Government,New York,,,,6/6/13 18:09,,
townofdeerfield.org,,Local Government,New York,,,,6/6/13 18:09,,
townofdeerpark.org,,Local Government,New York,,,,6/6/13 18:09,,
townofdelaware-ny.us,,Local Government,New York,,,,6/6/13 18:09,,
townofdewitt.com,,Local Government,New York,,,,6/6/13 18:09,,
townofdix.com,,Local Government,New York,,,,6/6/13 18:09,,
townofdover.us,,Local Government,,Deprecated,Former town website. See historical snapshot at: http://web.archive.org/web/20100131092734/http://www.townofdover.us.  -- Note added 8/18/14 13:48,,8/18/14 13:47,,
townofdresden.com,,Local Government,Maine,,,,6/6/13 18:09,,
townofdyer.com,,Local Government,,Deprecated,http://townofdyer.com redirects to http://www.townofdyer.net/edc/  -- Note added 8/18/14 13:39,,8/18/14 13:39,,
townofelbridge.com,,Local Government,New York,,,,6/6/13 18:09,,
townofellicott.com,,Local Government,New York,,,,6/6/13 18:09,,
townofelmira.com,,Local Government,New York,,,,6/6/13 18:09,,
townofelsmere.com,,Local Government,Delaware,rejected term,"Town of Elsmere, DE -- Note added 7/22/13 15:39",,6/6/13 18:09,,
townofenfield.org,,Local Government,New York,,,,6/6/13 18:09,,
townoferin.org,,Local Government,New York,,,,6/6/13 18:09,,
townofesperance.org,,Local Government,New York,,,,6/6/13 18:09,,
townofevans.org,,Local Government,New York,,,,6/6/13 18:09,,
townoffallsburg.com,,Local Government,New York,,,,6/6/13 18:09,,
townoffarmington.org,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townoffarmingtonny.com,,Local Government,New York,,,,6/6/13 18:09,,
townoffine.org,,Local Government,New York,,,,6/6/13 18:09,,
townofforestport.org,,Local Government,New York,,,,6/6/13 18:09,,
townoffoxlake.org,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townoffranklin.com,,Local Government,New York,,,,6/6/13 18:09,,
townoffreedom.org,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townoffulton.com,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townofgalway.org,,Local Government,,Deprecated,Former town website. See historical snapshot at: http://web.archive.org/web/20140105122443/http://townofgalway.org.  -- Note added 8/18/14 13:26,,8/18/14 13:25,,
townofgardiner.org,,Local Government,New York,,,,6/6/13 18:09,,
townofgates.org,,Local Government,New York,,,,6/6/13 18:09,,
townofgeddes.com,,Local Government,New York,,,,6/6/13 18:09,,
townofgenevawi.com,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townofghent.org,,Local Government,New York,,,,6/6/13 18:09,,
townofgibraltar.com,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townofglenville.org,,Local Government,New York,,,,6/6/13 18:09,,
townofgoshen.org,,Local Government,New York,,,,6/6/13 18:09,,
townofgrandrapids.org,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townofgraycourt.net,,Local Government,South Carolina,rejected term,"Town of Gray Court, SC -- Note added 8/18/14 13:34",,6/6/13 18:09,,
townofgreene.net,,Local Government,Maine,,,,6/6/13 18:09,,
townofgreenfield.com,,Local Government,,,,,8/26/13 16:41,,
townofgreenport.com,,Local Government,New York,,,,6/6/13 18:09,,
townofgreenville.com,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townofgreenvilleny.com,,Local Government,New York,,,,6/6/13 18:09,,
townofgreig.org,,Local Government,New York,,,,6/6/13 18:09,,
townofguilderland.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhadley.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhague.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhalcott.org,,Local Government,,,,,8/26/13 16:43,,
townofhalfmoon.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhamburgny.com,,Local Government,New York,,,,6/6/13 18:09,,
townofhamptonburgh.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhanover.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhardenburgh.org,,Local Government,New York,,,,6/6/13 18:09,,
townofharrison.org,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townofhartland.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhartwick.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhassan.com,,Local Government,Minnesota,rejected term,"Hassan Township, Hennepin County, MN, was annexed by City of Rogers, MN, in 2011.  nRef: Star Tribune online article, Dec. 26, 2011 http://www.startribune.com/era-ends-as-last-township-in-hennepin-county-folds/136241578/  nSee also historical snapshot of town's website announcing its annexation at: https://web.archive.org/web/20120104050331/http://www.townofhassan.com/  nCity of Rogers, MN, website is http://rogersmn.gov/  -- Note added 6/10/15 14:40",,6/6/13 18:09,,
townofhaverstraw.us,,Local Government,New York,,,,6/6/13 18:09,,
townofheathsprings.org,,Local Government,South Carolina,rejected term,"Town of Heath Springs, SC -- Note added 9/22/15 15:42",,6/6/13 18:09,,
townofhempstead.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhenrietta.org,,Local Government,,,,,8/26/13 16:52,,
townofhighlandny.com,,Local Government,New York,,,,6/6/13 18:09,,
townofhiles.org,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townofhoosick.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhopewell.org,,Local Government,New York,,,,6/6/13 18:09,,
townofhornbeck.com,,Local Government,Louisiana,rejected term,"Town of Hornbeck, LA -- Note added 11/9/15 20:43",,6/6/13 18:09,,
townofhornellsville.com,,Local Government,New York,,,,6/6/13 18:09,,
townofhurley.org,,Local Government,New York,,,,6/6/13 18:09,,
townofjacksonwi.com,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townofjacksonwi.org,,Local Government,Wisconsin,,,,6/6/13 18:09,,
townofjamesislandsc.org,,Local Government,South Carolina,Deprecated,Former town website. See historical snapshot at: http://web.archive.org/web/20110210174005/http://townofjamesislandsc.org.  -- Note added 8/18/14 13:30,,8/18/14 13:30,,
townofjewett.com,,Local Government,New York,,,,6/6/13 18:09,,
townofjohnstown.org,,Local Government,New York,,,,6/6/13 18:09,,
townofjonesboro.org,,Local Government,Louisiana,rejected term,"Town of Jonesboro, LA -- Note added 1/22/14 20:27",,6/6/13 18:09,,
townofkendall.com,,Local Government,New York,,,,6/6/13 18:09,,
townofkentny.com,,Local Government,New York,,,,6/6/13 18:09,,
townofkilmarnockva.com,,Local Government,Virginia,Deprecated,Redirects to kilmarnockva.com. nTownofkilmarnockva.com returns no results in Bing -- Note added 6/27/14 15:26,,6/6/13 18:09,,
townofkirkwood.org,,Local Government,New York,,,,6/6/13 18:09,,
townoflafayette.com,,Local Government,New York,,,,6/6/13 18:09,,
townoflakeluzerne.com,,Local Government,New York,,,,6/6/13 18:09,,
townofleray.org,,Local Government,New York,,,,6/6/13 18:09,,
townoflewiston.us,,Local Government,New York,,,,6/6/13 18:09,,
townofliberty.org,,Local Government,New York,,,,6/6/13 18:09,,
townoflitchfield.com,,Local Government,New York,,,,6/6/13 18:09,,
townoflloyd.com,,Local Government,New York,,,,6/6/13 18:09,,
townoflumberland.org,,Local Government,New York,,,,6/6/13 18:09,,
townoflyme.com,,Local Government,New York,,,,6/6/13 18:09,,
townoflysander.org,,Local Government,New York,,,,6/6/13 18:09,,
townofmaine.org,,Local Government,New York,,,,6/6/13 18:09,,
townofmamaroneck.org,,Local Government,New York,,,,6/6/13 18:09,,
townofmammoth.us,,Local Government,Arizona,rejected term,"Town of Mammoth, AZ -- Note added 12/13/13 13:24",,6/6/13 18:09,,
townofmanheim.org,,Local Government,New York,,,,6/6/13 18:09,,
townofmanlius.org,,Local Government,New York,,,,6/6/13 18:09,,
townofmarcy.org,,Local Government,New York,,,,6/6/13 18:09,,
townofmarilla.com,,Local Government,New York,,,,6/6/13 18:09,,
townofmendon.org,,Local Government,New York,,,,6/6/13 18:09,,
townofmentz.com,,Local Government,New York,,,,6/6/13 18:09,,
townofmeredith.com,,Local Government,New York,,,,6/6/13 18:09,,
townofmiltonny.org,,Local Government,New York,,,,6/6/13 18:09,,
townofminden.org,,Local Government,New York,,,,6/6/13 18:09,,
townofminerva.us,,Local Government,New York,,,,6/6/13 18:09,,
townofminetto.net,,Local Government,New York,,,,6/6/13 18:09,,
townofmontgomery.com,,Local Government,New York,,,,6/6/13 18:09,,
townofmoreau.org,,Local Government,New York,,,,6/6/13 18:09,,
townofmoriah.com,,Local Government,New York,,,,6/6/13 18:09,,
townofmorristownny.org,,Local Government,New York,,,,6/6/13 18:09,,
townofmorrisville.org,,Local Government,,,,,6/6/13 18:09,,
townofmukwonago.com,,Local Government,,Deprecated,Former town website. See historical snapshot at: http://web.archive.org/web/20120514122613/http://townofmukwonago.com/  -- Note added 1/22/14 19:22,,1/22/14 19:21,,
townofmurray.org,,Local Government,New York,,,,6/6/13 18:09,,
townofnassau.org,,Local Government,New York,,,,6/6/13 18:09,,
townofneversink.org,,Local Government,New York,,,,6/6/13 18:09,,
townofnewbaltimore.org,,Local Government,New York,,,,6/6/13 18:09,,
townofnewburgh.org,,Local Government,New York,,,,6/6/13 18:09,,
townofnewlebanon.com,,Local Government,New York,,,,6/6/13 18:09,,
townofnewpaltz.org,,Local Government,New York,,,,6/6/13 18:09,,
townofnewscotland.com,,Local Government,New York,,,,6/6/13 18:09,,
townofniagara.com,,Local Government,New York,,,,6/6/13 18:09,,
townofnorthharmony.com,,Local Government,New York,,,,6/6/13 18:09,,
townofnorway.org,,Local Government,,Deprecated,http://townofnorway.org redirects to https://sites.google.com/site/mytownofnorway/home.  -- Note added 8/15/14 14:25,,8/15/14 14:24,,
townofonondagany.com,,Local Government,New York,,,,6/6/13 18:09,,
townoforleans.com,,Local Government,New York,,,,6/6/13 18:09,,
townofossining.com,,Local Government,New York,,,,6/6/13 18:09,,
townofoswego.com,,Local Government,New York,,,,6/6/13 18:09,,
townofpagosasprings.com,,Local Government,Colorado,rejected term,"Town of Pagosa Springs, CO -- Note added 7/22/13 16:21",,6/6/13 18:09,,
townofpantego.com,,Local Government,Texas,,,,6/6/13 18:09,,
townofparadise.com,,Local Government,California,,,,6/6/13 18:09,,
townofpecoscitytx.com,,Local Government,Texas,,,,6/6/13 18:09,,
townofpembroke.org,,Local Government,New York,,,,6/6/13 18:09,,
townofpittsford.com,,Local Government,New York,,,,6/6/13 18:09,,
townofplattsburgh.com,,Local Government,New York,,,,6/6/13 18:09,,
townofpomfretny.org,,Local Government,New York,,,,6/6/13 18:09,,
townofpompey.com,,Local Government,New York,,,,6/6/13 18:09,,
townofporter.net,,Local Government,New York,,,,6/6/13 18:09,,
townofpoughkeepsie.com,,Local Government,New York,,,,6/6/13 18:09,,
townofpoundridge.com,,Local Government,New York,,,,6/6/13 18:09,,
townofprovidence.org,,Local Government,New York,,,,6/6/13 18:09,,
townofriga.org,,Local Government,New York,,,,6/6/13 18:09,,
townofrochester.net,,Local Government,New York,,,,6/6/13 18:09,,
townofrocklandny.com,,Local Government,New York,,,,6/6/13 18:09,,
townofrosalia.org,,Local Government,Washington,rejected term,"Town of Rosalia, WA -- Note added 4/7/14 17:54",,6/6/13 18:09,,
townofrosendale.com,,Local Government,New York,,,,6/6/13 18:09,,
townofross.org,,Local Government,California,,,,6/6/13 18:09,,
townofroyalton.org,,Local Government,New York,,,,6/6/13 18:09,,
townofrush.com,,Local Government,New York,,,,6/6/13 18:09,,
townofrussia.com,,Local Government,New York,,,,6/6/13 18:09,,
townofryeny.com,,Local Government,New York,,,,6/6/13 18:09,,
townofsaintjoseph.com,,Local Government,Louisiana,rejected term,"Town of St. Joseph, LA -- Note added 1/15/14 12:35",,6/6/13 18:09,,
townofsananselmo.org,,Local Government,California,,,,6/6/13 18:09,,
townofsandlake.us,,Local Government,New York,,,,6/6/13 18:09,,
townofsantaclara.com,,Local Government,New York,,,,6/6/13 18:09,,
townofsaranac.com,,Local Government,New York,,,,6/6/13 18:09,,
townofsaratoga.com,,Local Government,New York,,,,6/6/13 18:09,,
townofschaghticoke.org,,Local Government,New York,,,,6/6/13 18:09,,
townofsheldon.com,,Local Government,New York,,,,6/6/13 18:09,,
townofshuqualak.com,,Local Government,,rejected term,"Domain no longer resolves. Per the Wayback Machine, it last resolved on March 3, 2014: https://web.archive.org/web/20140303021102/http://www.townofshuqualak.com.  -- Note added 8/13/14 13:21",,6/6/13 18:09,,
townofsimsbury.com,,Local Government,Connecticut,rejected term,"Town of Simsbury, CT -- Note added 7/22/13 16:20",,6/6/13 18:09,,
townofskaneateles.com,,Local Government,New York,,,,6/6/13 18:09,,
townofskiatook.com,,Local Government,,,,,8/26/13 16:53,,
townofsouthport.com,,Local Government,New York,,,,6/6/13 18:09,,
townofspafford.com,,Local Government,New York,,,,6/6/13 18:09,,
townofspringwaterny.org,,Local Government,New York,,,,6/6/13 18:09,,
townofstafford.com,,Local Government,New York,,,,6/6/13 18:09,,
townofstockton.com,,Local Government,,,,,8/26/13 17:54,,
townofstonypoint.org,,Local Government,New York,,,,6/6/13 18:09,,
townofsunnyvale.org,,Local Government,Texas,,,,6/6/13 18:09,,
townofsuperior.com,,Local Government,Colorado,rejected term,Former town website. See historical snapshot at: http://web.archive.org/web/20110113020347/http://www.townofsuperior.com. Now resolves at http://superiorcolorado.gov.  -- Note added 8/15/14 14:21,,6/6/13 18:09,,
townofsweden.org,,Local Government,New York,,,,6/6/13 18:09,,
townofthompson.com,,Local Government,New York,,,,6/6/13 18:09,,
townofthurston.com,,Local Government,New York,,,,6/6/13 18:09,,
townofticonderoga.com,,Local Government,,,,,11/9/15 20:30,,
townoftruckee.com,,Local Government,California,,,,6/6/13 18:09,,
townofulster.org,,Local Government,New York,,,,6/6/13 18:09,,
townofunion.com,,Local Government,New York,,,,6/6/13 18:09,,
townofurbana.com,,Local Government,New York,,,,6/6/13 18:09,,
townofverdigris.com,,Local Government,Oklahoma,rejected term,"Town of Verdigris, Claremore, OK -- Note added 9/22/15 14:38",,6/6/13 18:09,,
townofvienna.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwales.com,,Local Government,New York,,,,6/6/13 18:09,,
townofwallkill.com,,Local Government,New York,,,,6/6/13 18:09,,
townofwalton.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwappinger.us,,Local Government,New York,,,,6/6/13 18:09,,
townofwarwick.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwawayanda.com,,Local Government,New York,,,,6/6/13 18:09,,
townofwebb.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwells.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwellsville.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwestbloomfield.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwesterly.com,,Local Government,,,,,1/27/14 15:05,,
townofwestfield.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwheatland.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwillsboro.com,,Local Government,New York,,,,6/6/13 18:09,,
townofwilmington.org,,Local Government,New York,,,,6/6/13 18:09,,
townofwilton.com,,Local Government,New York,,,,6/6/13 18:09,,
townofwindham.com,,Local Government,,rejected term,"Former town website. See historical snapshot at: http://web.archive.org/web/20150102192156/http://www.townofwindham.com/ Town board information found at http://www.windhamny.com/townboard.html, but this general website also includes non-government pages. -- Note added 11/9/15 20:29",,6/6/13 18:09,,
townofwoodbury.com,,Local Government,New York,,,,6/6/13 18:09,,
townofwyoming.com,,Local Government,Delaware,rejected term,"Town of Wyoming, DE -- Note added 7/22/13 16:19",,6/6/13 18:09,,
townofyountville.com,,Local Government,California,,,,6/6/13 18:09,,
township.clinton.nj.us,,Local Government,,,,,11/9/15 20:25,,
township.west-milford.nj.us,,Local Government,New Jersey,Deprecated,Former township website. See historical snapshot at: http://web.archive.org/web/20120108165414/http://www.township.west-milford.nj.us/  -- Note added 1/14/14 13:41,,6/6/13 18:09,,
townverona.org,,Local Government,New York,,,,6/6/13 18:09,,
townwalworthny.com,,Local Government,New York,,,,6/6/13 18:09,,
tracy.govoffice.com,,,,,,,8/26/13 17:57,,
tradecorridor.com/berthold,,Local Government,North Dakota,rejected term,"City of Berthold, ND -- Note added 7/18/13 12:44",,6/6/13 18:09,,
tradecorridor.com/mcclusky,,,,,,,7/18/13 12:45,,
tradecorridor.com/walhalla,,,,,,,7/18/13 12:47,,
train.missouri.org/cabool,,Local Government,Missouri,Deprecated,Former town website. See historical snapshot at: http://web.archive.org/web/20120521192444/http://train.missouri.org/cabool  -- Note added 8/14/14 19:42,,8/14/14 19:42,,
trainerborough.org,,,,,,,11/10/15 20:13,,
transitchicago.com,,,,rejected term,Out of scope -- Note added 7/7/14 21:15,http://www.transitchicago.com/,6/6/13 18:09,,
treasury.fed.us,,Federal Government,,,,,6/10/15 13:08,,
tremontoncity.com,,Local Government,Utah,,,,6/6/13 18:09,,
trentonmo.com,,,Missouri,,,,6/6/13 18:09,,
trimblemo.org,,,Missouri,,,,6/6/13 18:09,,
trinidad-rancheria.org,,Native Sovereign Nation,,,,,6/6/13 18:09,,
trinityra.org,,,Texas,,,,6/6/13 18:09,,
trophyclub.org,,,Texas,,,,6/6/13 18:09,,
troyalabama.com,,Local Government,Alabama,rejected term,"Non-official site. The official site for the City of Troy, AL, is troyal.gov -- Note added 7/17/13 13:13",,6/6/13 18:09,,
tryon-nc.com,,,,Redirected,Redirects to http://exploretryon.com/gov/  -- Note added 11/20/13 12:30,,11/20/13 12:29,,
tsacareercoaching.com,,,,rejected term,No longer a government website -- Note added 6/26/13 16:49,,6/6/13 18:09,,
tsbvi.edu,,,Texas,,,,6/6/13 18:09,,
tssb.org,,,Texas,,,,6/6/13 18:09,,
tti.tamu.edu,,,Texas,,,,6/6/13 18:09,,
tuckahoe.com,,,New York,,,,6/6/13 18:09,,
tughillcouncil.com,,,New York,,,,6/6/13 18:09,,
tuliatexas.org,,,Texas,,,,6/6/13 18:09,,
tullyny.org,,,,Deprecated,Former website for Tully (NY) schools. See historical snapshot at: http://web.archive.org/web/20140105150520/http://tullyny.org.  -- Note added 8/15/14 13:54,,8/15/14 13:53,,
tunica.org,,,,,,,8/26/13 18:00,,
tupperlakeny.us,,,New York,,,,6/6/13 18:09,,
turtlelakend.org,,,North Dakota,,,,6/6/13 18:09,,
tuskegeealabama.org,,Local Government,Alabama,rejected term,"City of Tuskegee, AL -- Note added 7/17/13 13:16",,6/6/13 18:09,,
tusten.org,,,New York,,,,6/6/13 18:09,,
tustinca.org,,,California,,,,6/6/13 18:09,,
tuxedogov.org,,,New York,,,,6/6/13 18:09,,
tvmdl.tamu.edu,,,Texas,,,,6/6/13 18:09,,
twp.alden.wi.us,,Local Government,Wisconsin,Deprecated,Former town website. See historial snapshot at: http://web.archive.org/web/20120224124652/http://www.twp.alden.wi.us/  -- Note added 1/14/14 13:38,,1/14/14 13:38,,
twp.concord.pa.us,,Local Government,Pennsylvania,Deprecated,http://www.twp.concord.pa.us redirects to http://www.townshipofconcord.com. -- Note added 8/14/14 14:13,,8/14/14 14:12,,
twp.evesham.nj.us,,Local Government,New Jersey,,Page still resolves with a message. Its http://twp.evesham.nj.us/robots.txt blocks all crawlers. Official town website is at http://www.evesham-nj.org.  -- Note added 8/14/14 14:17,,8/14/14 14:15,,
twp.ferrisburgh.vt.us,,Local Government,,Deprecated,Former town website. See historical snapshot at http://web.archive.org/web/20120109021523/http://twp.ferrisburgh.vt.us/  -- Note added 7/23/14 16:13,,1/14/14 13:34,,
twp.south-brunswick.nj.us,,,,,,,11/19/13 21:19,,
txforestservice.tamu.edu,,,Texas,,,,6/6/13 18:09,,
txregionalcouncil.org,,,,rejected term,Texas Association of Regional Councils -- Note added 7/23/13 19:29,,6/6/13 18:09,,
tyngsboroughmass.com,,Local Government,Massachusetts,rejected term,"Town of Tyngsborough, MA -- Note added 8/14/14 14:29",,6/6/13 18:09,,
uacnet.org,,,,rejected term,Utah Association of Counties -- Note added 7/23/13 19:28,,6/6/13 18:09,,
ucanr.org,,,California,,,,6/6/13 18:09,,
ucitymo.org,,Local Government,Missouri,,,,6/6/13 18:09,,
ucop.edu,,,California,,,,6/6/13 18:09,,
ucratx.org,,,Texas,,,,6/6/13 18:09,,
uintahcity.com,,Local Government,Utah,,,,6/6/13 18:09,,
ulct.org,,,Utah,,,,6/6/13 18:09,,
ulysses.ny.us,,,New York,,,,6/6/13 18:09,,
umassextension.org,,,,Redirected,Redirects to http://ag.umass.edu/  -- Note added 11/20/13 15:31,,11/20/13 15:31,,
union.govoffice2.com,,Local Government,Maine,rejected term,"Town of Union, ME -- Note added 7/22/13 15:44",,6/6/13 18:09,,
unionnebraska.com,,,,,,,6/6/13 18:09,,
unionvilleny.org,,Local Government,New York,,,,6/6/13 18:09,,
unitedcounties.com,,,,rejected term,United Counties Council of Illinois -- Note added 7/8/13 16:58,,6/6/13 18:09,,
universalcitytexas.com,,Local Government,Texas,,,,6/6/13 18:09,,
university-heights.org,,,Iowa,,,http://university-heights.org/,6/6/13 18:09,,
upperbrookville.org,,Local Government,New York,,,,6/6/13 18:09,,
upperdeerfield.org,,,,,,,8/26/13 18:01,,
upperlakepomo.com,,Native Sovereign Nation,,,,,6/6/13 18:09,,
uppernyack-ny.us,,,New York,,,,6/6/13 18:09,6/6/13 18:09,
uptexas.org,,,Texas,,,,6/6/13 18:09,,
urbanforestrysouth.org,,,,,,,6/6/13 18:09,,
users.bestweb.net/~vcsclerk,,,New York,,,,6/6/13 18:09,,
usgs.net,,,,rejected term,US Geological Survey map and data services for the National Map for homeland security and natural hazards. www.usgs.net redirects to http://www.usgs.gov/ and http://gisdata.usgs.net Now redirects to http://nationalmap.gov/viewer.html.  -- Note added 11/13/13 17:14,,11/13/13 17:11,,
usjbf.org,,,,rejected term,"Domain is registered with an A record but does not resolve as a website."",,07/14/2020
usmint.com,,Federal Government,,,,,4/20/18 13:13
usmint.com,,,,,,,4/20/18 13:14
usvitourism.vi,,,,,,,6/6/13 19:11
utemountainute.com,,,,,,,11/9/15 20:23
utetribe.com,,Native Sovereign Nation,,,,,6/6/13 18:09
uvaldecounty.com,,County Government,Texas,,,,6/6/13 18:09
uvlsrpc.org,,,,rejected term,Upper Valley Lake Sunapee Regional Planning Commission (Lebanon"," NH) -- Note added 8/18/14 15:35""",http://www.uvlsrpc.org/,,
vacivilrightsmemorial.org,,,,rejected term,Virginia Civil Rights Memorial -- Note added 7/22/13 16:19,,6/6/13 18:09,,
vafamilyconnections.com,,,,rejected term,Site no longer valid. Does not appear to have a newer URL -- Note added 7/14/14 16:59,,6/6/13 18:09,,
valatievillage.com,,Local Government,New York,,,,6/6/13 18:09,,
valleystream.govoffice.com,,,,,,,8/26/13 18:09,,
valverdecounty.org,,County Government,Texas,,,,6/6/13 18:09,,
vanaturally.com,,,,rejected term,"Virginia Naturally, Virginia's gateway to environmental information and resources -- Note added 1/14/14 13:30",,1/14/14 13:30,,
vanaturally.org,,,,rejected term,"Virginia Naturally, Virginia's gateway to environmental information and resources -- Note added 1/14/14 13:28",,6/6/13 18:09,,
vanmeter.govoffice2.com,,Local Government,Iowa,rejected term,"City of Van Meter, IA -- Note added 3/24/14 12:24",,6/6/13 18:09,,
vanzandtcounty.org,,County Government,Texas,,,,6/6/13 18:09,,
vcedigitalworks.com,,,,Redirected,Redirects to http://www.govce.net/store/DigitalWorks.aspx  -- Note added 11/20/13 14:19,,7/22/13 16:17,,
vcmwd.org,,,California,,,,6/6/13 18:09,,
velva.net,,,North Dakota,,,,6/6/13 18:09,,
ventura-usa.com,,,California,,,,6/6/13 18:09,,
vernalcity.org,,Local Government,Utah,,,,6/6/13 18:09,,
vernon-vt.org,,Local Government,Vermont,rejected term,"Town of Vernon, VT -- Note added 1/14/14 13:26",,6/6/13 18:09,,
vernoncountymo.org,,County Government,Missouri,,,,6/6/13 18:09,,
vesd.net,,,California,,,,6/6/13 18:09,,
vetoviolence.org,,,,rejected term,Both www.SAFEYOUTH.GOV and www.vetoviolence.org redirect to http://vetoviolence.cdc.gov/.  -- Note added 1/29/14 17:23,,1/29/14 17:21,,
vgfoa.org,,,,rejected term,Virginia Government Finance Officers' Association -- Note added 7/23/13 19:28,,6/6/13 18:09,,
victoriatx.org,,,Texas,,,,6/6/13 18:09,,
victorny.org,,,New York,,,,6/6/13 18:09,,
viejasbandofkumeyaay.org,,Native Sovereign Nation,,,,,6/6/13 18:09,,
vil.albion.ny.us,,,New York,,,,6/6/13 18:09,,
vil.fox-point.wi.us,,,Wisconsin,,,,6/6/13 18:09,,
vil.spencerport.ny.us,,,New York,,,,6/6/13 18:09,,
vil.twin-oaks.mo.us,,,Missouri,,,,6/6/13 18:09,,
